,City,Country,Cloudiness (%),Humidity (%),Max Temp (F°),Wind Speed (mph),Lat,Long,Date Checked
76,Shimoda,JP,38,93,57.99,1.99,34.7,138.93,1559591415
77,Sao Joao da Barra,BR,20,48,87.8,3.36,-21.64,-41.05,1559591416
78,Yellowknife,CA,90,100,37.4,8.05,62.45,-114.38,1559591418
79,Thunder Bay,CA,90,68,62.01,11.41,48.41,-89.26,1559591419
80,Broome,GB,0,55,64.4,4.7,52.47,1.45,1559591420
81,Mineiros,BR,30,78,70.4,7.2,-17.57,-52.55,1559591422
82,Darhan,MN,0,75,38.0,2.98,49.49,105.92,1559591423
83,Narsaq,GL,20,40,53.6,8.05,60.91,-46.05,1559591425
84,Port Blair,IN,100,78,84.98,11.01,11.67,92.75,1559591262
85,Axim,GH,99,84,78.86,8.25,4.87,-2.24,1559591428
86,Saint-Joseph,FR,0,64,71.6,2.24,43.56,6.97,1559591429
87,Dunda,IN,0,38,73.64,6.6,30.62,78.32,1559591430
88,Gazli,UZ,0,30,81.38,8.68,40.13,63.45,1559591432
89,Kandrian,PG,99,91,76.34,3.89,-6.21,149.55,1559591433
90,Qandala,SO,98,74,86.96,1.01,11.47,49.87,1559591435
91,Pottsville,US,40,39,70.0,8.05,40.69,-76.2,1559591436
92,Klaksvik,FO,75,93,48.2,16.11,62.23,-6.59,1559591174
93,Zaragoza,ES,20,32,84.2,16.11,41.65,-0.88,1559591439
94,Bembereke,BJ,37,58,84.8,5.37,10.23,2.66,1559591440
95,Lamesa,US,90,58,86.0,11.41,32.74,-101.95,1559591442
96,Kawalu,ID,100,96,69.86,2.75,-7.38,108.21,1559591443
97,Khor,RU,0,78,54.2,3.62,47.88,134.96,1559591444
98,Camacupa,AO,0,41,55.82,4.76,-12.02,17.48,1559591446
99,Royan,FR,0,60,73.4,5.82,45.62,-1.03,1559591447
100,San Andres,PH,100,88,79.22,1.99,13.32,122.68,1559591448
101,Santa Cecilia,CO,75,74,78.8,6.93,5.35,-76.12,1559591450
102,Atuona,PF,3,75,82.64,17.38,-9.8,-139.03,1559591728
103,Severo-Kurilsk,RU,100,95,42.5,4.81,50.68,156.12,1559591414
104,Souillac,FR,0,60,73.4,6.93,45.6,-0.6,1559591454
105,Kropotkin,RU,0,93,70.04,4.25,45.43,40.58,1559591455
106,Shingu,JP,100,95,58.7,2.91,33.72,135.99,1559591457
107,Geraldton,CA,75,33,57.2,9.17,49.72,-86.95,1559591458
108,Avarua,CK,100,94,73.4,2.24,-21.21,-159.78,1559591459
109,Hithadhoo,MV,89,76,83.36,13.29,-0.6,73.08,1559591461
110,College,US,20,51,63.0,6.69,64.86,-147.8,1559591411
111,Sao Felix do Xingu,BR,1,76,78.86,3.15,-6.64,-51.99,1559591330
112,Kirensk,RU,24,89,39.8,2.66,57.78,108.12,1559591465
113,Port Hedland,AU,0,30,59.0,9.17,-20.31,118.58,1559591466
114,Kapit,MY,100,97,73.46,0.54,2.02,112.94,1559591468
115,Seydi,NE,61,22,98.48,1.74,13.34,7.75,1559591469
116,Gap,FR,48,62,54.0,3.11,44.56,6.08,1559591471
117,Necochea,AR,7,86,55.0,1.01,-38.55,-58.74,1559591472
118,Kruisfontein,ZA,0,51,58.16,3.8,-34.0,24.73,1559591474
119,Ancud,CL,90,100,53.6,24.16,-41.87,-73.83,1559591476
120,Torbay,CA,90,93,59.0,19.46,47.66,-52.73,1559591289
121,Hofn,IS,20,45,46.4,25.28,64.25,-15.21,1559591479
122,Carnarvon,ZA,0,32,58.7,7.94,-30.97,22.13,1559591480
123,Mount Gambier,AU,90,70,48.2,17.22,-37.83,140.78,1559591481
124,Camacha,PT,20,77,73.4,16.11,33.08,-16.33,1559591482
125,Solaro,IT,40,82,66.2,1.12,44.35,9.32,1559591484
126,Mirante do Paranapanema,BR,40,53,75.2,5.82,-22.29,-51.91,1559591485
127,Vostok,RU,13,97,52.58,0.36,46.45,135.83,1559591487
128,Katsuura,JP,75,94,70.0,8.05,33.93,134.5,1559591488
129,Port Lincoln,AU,100,67,55.64,16.15,-34.72,135.86,1559591489
130,Rio Grande,BR,0,49,69.8,6.93,-32.03,-52.1,1559591491
131,Pisco,PE,0,30,71.6,10.29,-13.71,-76.2,1559591407
132,Grindavik,IS,0,65,48.2,20.8,63.84,-22.43,1559591494
133,Meadow Lake,CA,90,77,59.0,12.75,54.13,-108.44,1559591495
134,Nikolskoye,RU,0,47,57.2,4.25,59.7,30.79,1559591496
135,Hilo,US,75,61,79.0,4.7,19.71,-155.08,1559591498
136,Manaure,CO,40,74,87.8,11.41,11.78,-72.45,1559591499
137,Te Anau,NZ,30,94,30.44,2.64,-45.41,167.72,1559591500
138,Yulara,AU,0,80,39.2,5.82,-25.24,130.99,1559591502
139,Fare,PF,33,68,81.2,8.16,-16.7,-151.02,1559591503
140,Victoria,BN,75,94,78.8,2.24,5.28,115.24,1559591231
141,Tanhacu,BR,0,45,77.42,4.47,-14.02,-41.25,1559591506
142,Grand Gaube,MU,75,69,73.4,14.99,-20.01,57.66,1559591507
143,Mangrol,IN,0,12,101.9,4.5,25.33,76.51,1559591508
144,Chara,GR,75,82,62.6,4.7,39.42,22.43,1559591500
145,Kodiak,US,1,38,84.0,12.75,39.95,-94.76,1559591511
146,Vila,IT,75,68,78.01,17.22,45.18,8.4,1559591512
147,Taoudenni,ML,87,6,96.32,10.51,22.68,-3.98,1559591514
148,Suez,EG,1,34,83.72,6.26,29.97,32.54,1559591515
149,Playas,EC,3,71,77.6,14.85,-2.64,-80.39,1559591516
150,Fortuna,ES,0,77,75.99,2.24,38.18,-1.13,1559591485
151,Surazh,RU,0,86,57.08,8.61,53.01,32.39,1559591519
152,Touros,BR,40,70,84.2,13.87,-5.2,-35.46,1559591520
153,Price,US,20,27,73.4,2.75,39.6,-110.81,1559591397
154,Georgetown,GY,75,79,84.2,18.34,6.8,-58.16,1559591524
155,Kadyy,RU,18,73,47.0,5.1,57.79,43.19,1559591526
156,Skeldon,GY,32,76,82.1,6.04,5.88,-57.13,1559591527
157,Barrow,AR,19,41,54.56,5.88,-38.31,-60.23,1559591528
158,Pangnirtung,CA,75,65,41.0,8.05,66.15,-65.72,1559591530
159,Vokhma,RU,1,79,46.1,7.78,58.93,46.76,1559591531
160,Huarmey,PE,14,90,63.02,17.65,-10.07,-78.15,1559591532
161,Okhotsk,RU,96,72,47.72,1.88,59.36,143.24,1559591534
162,Koshurnikovo,RU,0,90,36.2,3.4,54.3,93.39,1559591535
163,Adrar,DZ,0,11,96.8,12.75,27.87,-0.29,1559591536
164,Wasilla,US,1,62,62.01,3.36,61.58,-149.44,1559591538
165,Korcula,HR,40,93,62.6,4.7,42.96,17.14,1559591540
166,Burnie,AU,6,85,42.01,1.01,-41.05,145.91,1559591541
167,Tuatapere,NZ,100,87,41.0,1.99,-46.13,167.69,1559591543
168,Oktyabrskiy,RU,0,51,63.0,4.47,55.61,37.97,1559591544
169,Maragogi,BR,21,92,74.18,4.09,-9.01,-35.22,1559591422
170,Voh,NC,97,75,72.74,6.44,-20.95,164.69,1559591547
171,Taltal,CL,0,45,69.86,4.12,-25.41,-70.49,1559591549
172,Recodo,PH,98,83,72.92,4.59,13.03,121.49,1559591550
173,Gunjur,GM,40,78,75.2,8.05,13.18,-16.76,1559591552
174,Murgab,TM,75,73,73.4,6.93,37.5,61.97,1559591553
175,Lagoa,PT,0,50,77.0,17.22,37.14,-8.45,1559591555
176,San Vicente,SV,75,83,84.2,8.05,13.64,-88.78,1559591506
177,Freeport,BS,68,64,84.08,0.31,26.54,-78.7,1559591558
178,Esperance,TT,20,83,89.01,8.05,10.24,-61.45,1559591828
179,Port Hardy,CA,75,76,53.6,9.17,50.7,-127.42,1559591561
180,Scarborough,GB,0,48,62.6,8.05,54.28,-0.41,1559591517
181,Saint-Philippe,CA,90,62,53.01,31.09,45.36,-73.48,1559591564
182,Karratha,AU,0,22,64.46,18.63,-20.74,116.85,1559591526
183,Miri,NG,82,49,87.14,7.99,10.31,9.75,1559591567
184,Debre Birhan,ET,100,65,54.38,5.61,9.68,39.53,1559591568
185,Kudat,MY,75,88,80.6,2.42,6.89,116.84,1559591569
186,Cabedelo,BR,40,74,82.4,17.22,-6.97,-34.84,1559591571
187,Kalmunai,LK,96,85,77.96,2.84,7.42,81.82,1559591572
188,New Norfolk,AU,40,80,43.0,10.29,-42.78,147.06,1559591571
189,Leningradskiy,RU,100,91,36.02,6.11,69.38,178.42,1559591574
190,Namatanai,PG,74,84,79.22,5.88,-3.66,152.44,1559591576
191,Camocim,BR,89,89,77.6,2.91,-2.9,-40.84,1559591577
192,Dalbandin,PK,93,16,84.44,10.96,28.9,64.41,1559591578
193,Egvekinot,RU,95,95,38.54,5.61,66.32,-179.17,1559591580
194,Kedainiai,LT,0,63,64.4,3.36,55.29,23.97,1559591848
195,Flinders,AU,75,100,53.01,26.4,-34.58,150.85,1559591849
196,Bambous Virieux,MU,75,69,73.4,14.99,-20.34,57.76,1559591851
197,Daru,SL,100,95,74.9,4.47,7.99,-10.85,1559591852
198,Dryden,CA,90,58,53.6,8.05,49.79,-92.84,1559591854
199,Port Macquarie,AU,0,65,48.0,6.93,-31.43,152.91,1559591583
200,Fort Nelson,CA,90,87,44.6,8.05,58.81,-122.69,1559591856
201,Sechura,PE,0,82,68.96,15.9,-5.56,-80.82,1559591857
202,Nantucket,US,1,63,71.6,10.29,41.28,-70.1,1559591840
203,Codrington,AU,0,50,51.8,17.22,-28.95,153.24,1559591860
204,Cabo San Lucas,MX,5,57,87.01,11.41,22.89,-109.91,1559591833
205,Morgan City,US,75,43,93.99,5.82,29.7,-91.21,1559591863
206,Nueva Concepcion,GT,40,52,91.4,11.41,14.2,-91.3,1559591864
207,Airai,TL,82,75,72.38,10.42,-8.93,125.41,1559591866
208,Bilma,NE,8,18,96.68,11.88,18.69,12.92,1559591867
209,Casper,US,1,33,79.0,11.41,42.87,-106.31,1559591578
210,Hasaki,JP,20,100,59.0,2.24,35.73,140.83,1559591871
211,Sitka,US,6,37,89.48,16.4,37.17,-99.65,1559591872
212,Naze,NG,40,88,80.6,3.36,5.43,7.07,1559591874
213,Tasiilaq,GL,5,69,37.4,6.93,65.61,-37.64,1559591875
214,Ilulissat,GL,40,70,42.8,4.7,69.22,-51.1,1559591876
215,Baykit,RU,35,90,43.58,3.87,61.68,96.39,1559591878
216,Amahai,ID,100,90,77.78,12.73,-3.31,129.0,1559591879
217,Beringovskiy,RU,91,67,52.04,7.23,63.05,179.32,1559591880
218,Luderitz,NA,0,100,50.0,5.82,-26.65,15.16,1559591882
219,Tautira,PF,20,54,84.2,5.82,-17.73,-149.15,1559591883
220,San Cristobal,EC,75,40,71.6,6.93,-0.39,-78.55,1559591885
221,Darnah,LY,0,75,66.8,7.2,32.77,22.64,1559591886
222,Nome,US,40,52,95.0,8.05,30.04,-94.42,1559591887
223,Skibbereen,IE,75,81,51.8,6.93,51.55,-9.27,1559591889
224,Haines Junction,CA,24,28,54.56,7.18,60.75,-137.51,1559591890
225,Port Moresby,PG,100,85,80.12,20.47,-9.47,147.16,1559591891
226,Weligama,LK,100,81,83.36,17.16,5.97,80.42,1559591893
227,Krasnoarmeysk,RU,0,51,63.0,4.47,56.12,38.15,1559591894
228,Teya,MX,75,62,91.99,11.41,21.05,-89.07,1559591898
229,Port Elizabeth,US,40,35,75.2,13.87,39.31,-74.98,1559591900
230,Brae,GB,75,87,50.0,28.86,60.4,-1.35,1559591901
231,Faya,SA,20,22,75.2,4.7,18.39,42.45,1559591903
232,Vila Velha,BR,20,62,86.0,11.41,-3.71,-38.6,1559591904
233,Chavakkad,IN,40,88,84.0,2.98,10.53,76.05,1559591905
234,Tsaratanana,MG,6,86,65.0,9.08,-16.8,47.65,1559591907
235,Cascais,PT,20,72,68.0,11.41,38.7,-9.42,1559591908
236,Kawambwa,ZM,0,65,56.0,5.1,-9.8,29.07,1559591910
237,Bethel,US,90,81,50.0,10.29,60.79,-161.76,1559591912
238,Mitsamiouli,KM,40,74,78.8,14.99,-11.38,43.28,1559591913
239,Alofi,NU,75,100,68.0,6.33,-19.06,-169.92,1559591914
240,Fernandopolis,BR,0,87,70.76,6.85,-20.28,-50.25,1559591916
241,Zlotoryja,PL,0,60,73.4,4.7,51.13,15.92,1559591917
242,Mecca,SA,100,30,97.76,3.51,21.43,39.83,1559591639
243,Bani Walid,LY,0,51,66.8,9.4,31.76,14.0,1559591920
244,Svetlogorsk,RU,40,59,62.6,6.71,53.14,59.15,1559591921
245,Vestmannaeyjar,IS,0,57,50.42,16.55,63.44,-20.27,1559591922
246,Olinda,EC,90,74,84.2,5.82,-2.03,-79.75,1559591923
247,Ribeira Grande,PT,40,72,68.0,8.05,38.52,-28.7,1559591925
248,Waingapu,ID,98,85,72.56,12.95,-9.65,120.26,1559591926
249,Orlik,RU,3,84,26.48,3.38,52.51,99.83,1559591927
250,Eqbaliyeh,IR,0,26,77.0,9.17,35.3,51.54,1559591929
251,Luwingu,ZM,1,74,55.28,3.76,-10.26,29.92,1559591930
252,Tazovskiy,RU,52,75,39.98,9.89,67.47,78.7,1559591931
253,Penzance,GB,40,71,57.2,11.41,50.12,-5.53,1559591933
254,Santa Cruz,US,20,72,80.01,4.7,36.97,-122.03,1559591935
255,Sault Sainte Marie,CA,1,50,57.2,14.99,46.49,-84.36,1559591936
256,Tari,NG,100,28,99.74,10.78,12.41,4.49,1559591937
257,Lebu,ET,100,73,58.88,1.41,8.96,38.73,1559591939
258,Araouane,ML,60,6,95.42,8.97,18.9,-3.53,1559591940
259,Kamskiye Polyany,RU,20,66,53.6,20.13,55.43,51.42,1559591941
260,Namibe,AO,0,70,72.02,5.23,-15.19,12.15,1559591943
261,Komsomolskiy,RU,100,99,35.66,7.31,67.55,63.78,1559591944
262,Lorengau,PG,100,91,78.5,7.7,-2.02,147.27,1559591945
263,Machico,PT,20,68,71.6,11.41,32.7,-16.77,1559591947
264,Guthrie,US,1,62,87.01,6.93,35.88,-97.43,1559591948
265,Cap Malheureux,MU,75,69,73.4,14.99,-19.98,57.61,1559591949
266,Chokurdakh,RU,0,60,34.22,11.92,70.62,147.9,1559591951
267,Sinnamary,GF,100,82,81.38,14.03,5.38,-52.96,1559591952
268,Bogovarovo,RU,5,77,46.46,8.23,58.98,47.02,1559591953
269,Zhangjiakou,CN,100,46,56.72,5.55,40.77,114.88,1559591955
270,San Policarpo,PH,82,79,83.72,7.34,12.18,125.51,1559591956
271,Kovdor,RU,61,72,42.86,4.56,67.56,30.47,1559591957
272,Khatanga,RU,0,86,42.5,6.49,71.98,102.47,1559591959
273,Malanje,AO,3,31,66.26,4.85,-9.54,16.35,1559591960
274,Rosita,NI,94,86,82.64,2.46,13.92,-84.4,1559591961
275,Redmond,US,75,55,64.0,4.7,47.67,-122.12,1559591677
276,Longyearbyen,NO,75,74,37.4,10.29,78.22,15.63,1559591964
277,Hobyo,SO,100,72,81.56,23.2,5.35,48.53,1559591965
278,Sainte-Maxime,FR,0,64,71.6,2.24,43.31,6.64,1559591966
279,Praia da Vitoria,PT,75,82,69.01,19.19,38.73,-27.07,1559591708
280,Inyonga,TZ,0,47,66.62,7.72,-6.72,32.06,1559591969
281,Pitkyaranta,RU,96,62,47.72,12.01,61.57,31.48,1559591973
282,Half Moon Bay,US,40,67,80.01,10.29,37.46,-122.43,1559591975
283,Provideniya,RU,90,93,37.4,4.81,64.42,-173.23,1559591976
284,Lethem,GY,88,50,90.38,8.72,3.38,-59.8,1559591978
285,Srinivaspur,IN,40,100,75.2,3.36,13.34,78.21,1559591979
286,Tura,IN,1,84,77.06,7.29,25.52,90.21,1559591981
287,Kaohsiung,TW,75,88,82.0,2.24,22.62,120.31,1559591983
288,Puerto Ayora,EC,75,65,82.4,17.22,-0.74,-90.35,1559591984
289,Marienburg,DE,20,93,66.2,1.12,52.12,9.98,1559591986
290,Mangai,CD,85,43,73.1,0.96,-4.07,19.59,1559591987
291,Kungurtug,RU,1,63,29.36,3.44,50.6,97.53,1559591988
292,Mount Pleasant,US,40,58,93.2,9.17,33.16,-94.97,1559591841
293,Caconda,AO,0,35,58.88,4.18,-13.73,15.06,1559591993
294,Ostrovnoy,RU,1,81,34.22,1.48,68.05,39.51,1559591994
295,Vao,EE,0,66,58.16,9.33,59.1,26.19,1559591995
296,Skiathos,GR,40,72,66.2,7.58,39.16,23.49,1559591997
297,Kiama,AU,75,100,53.01,26.4,-34.67,150.86,1559591998
298,Cayenne,GF,75,88,77.0,7.47,4.94,-52.33,1559591999
299,Sawakin,SD,2,30,88.4,3.69,19.1,37.33,1559592001
300,Igarka,RU,0,89,31.52,3.94,67.47,86.57,1559592002
301,Nushki,PK,85,17,80.3,4.38,29.55,66.02,1559592003
302,Serebryanyy Bor,RU,21,72,49.88,3.65,56.8,124.8,1559592005
303,Cidreira,BR,3,71,62.66,7.38,-30.17,-50.22,1559592006
304,Ossora,RU,99,97,40.88,4.83,59.24,163.07,1559592007
305,Burns Lake,CA,56,59,52.4,12.3,54.23,-125.76,1559592009
306,Coahuayana,MX,91,31,101.18,2.51,18.62,-100.35,1559592010
307,Mabay,CU,75,49,91.4,3.36,20.35,-76.78,1559592011
308,Qujing,CN,13,90,58.7,4.7,25.49,103.8,1559592013
309,Santa Ana,SV,98,74,80.3,8.25,13.99,-89.56,1559591891
310,Plainfield,US,1,47,78.01,4.7,39.7,-86.4,1559591782
311,Gumdag,TM,2,29,81.74,6.53,39.2,54.59,1559592018
312,Plettenberg Bay,ZA,1,48,61.4,1.57,-34.05,23.37,1559592019
313,Morondava,MG,54,70,79.58,13.38,-20.3,44.28,1559592021
314,Lashio,MM,15,84,68.78,1.1,22.93,97.75,1559592022
315,Imeni Poliny Osipenko,RU,37,75,51.68,0.49,52.42,136.49,1559592023
316,Dingtao,CN,2,54,75.8,4.16,35.07,115.56,1559592025
317,Bongouanou,CI,100,98,74.0,2.98,6.65,-4.2,1559592026
318,Gondanglegi,ID,100,94,72.02,5.5,-7.75,112.01,1559592028
319,Sydney,AU,75,87,46.99,19.46,-33.85,151.22,1559591819
320,Bonthe,SL,100,86,79.4,8.63,7.53,-12.5,1559592030
321,Eydhafushi,MV,100,76,83.72,13.27,5.1,73.07,1559592032
322,Sancel,RO,75,93,63.0,9.17,46.2,23.95,1559592033
323,Pahrump,US,40,15,91.99,1.9,36.21,-115.98,1559591767
324,Wilmington,US,1,51,73.0,14.99,39.75,-75.55,1559591904
325,Sur,OM,0,52,90.38,13.42,22.57,59.53,1559592037
326,Paris,FR,0,56,69.01,2.24,48.86,2.35,1559591821
327,Lakselv,NO,0,65,48.2,6.93,70.05,24.96,1559592040
328,Thompson,CA,90,41,59.0,4.7,55.74,-97.86,1559592041
329,Kommunar,RU,0,54,55.4,2.24,59.62,30.39,1559592043
330,Evanston,US,1,34,75.0,5.82,42.04,-87.69,1559592038
331,Hazorasp,UZ,0,60,73.4,5.08,41.32,61.08,1559592045
332,Papayal,EC,90,93,57.2,4.7,-2.43,-79.18,1559592047
333,Brooks,CA,4,30,82.0,8.99,50.57,-111.89,1559592048
334,Manavalakurichi,IN,40,83,82.4,3.36,8.13,77.3,1559592050
335,Lasa,CY,0,60,77.0,3.36,34.92,32.53,1559592051
336,Cockburn Town,TC,0,80,81.56,12.8,21.46,-71.14,1559592053
337,Sidi Ali,DZ,61,72,71.66,4.97,36.1,0.42,1559592054
338,Maua,KE,100,99,52.22,3.98,0.23,37.94,1559592055
339,Anzhero-Sudzhensk,RU,40,100,50.0,6.71,56.08,86.02,1559592057
340,Morehead,US,1,33,73.4,6.6,38.18,-83.43,1559592058
341,Chernushka,RU,16,95,54.38,14.14,56.5,56.08,1559592060
342,Vila Franca do Campo,PT,75,68,69.8,14.99,37.72,-25.43,1559592061
343,Sambava,MG,1,90,65.72,3.51,-14.27,50.17,1559592062
344,Florianopolis,BR,75,77,71.01,5.82,-27.6,-48.55,1559591812
345,Am Timan,TD,100,44,92.18,9.01,11.04,20.28,1559592065
346,Chumphon,TH,100,95,75.98,2.15,10.5,99.18,1559592066
347,Martapura,ID,100,90,78.5,7.92,-3.41,114.85,1559592068
348,Guatire,VE,95,51,84.99,4.79,10.47,-66.54,1559592068
349,Havre-Saint-Pierre,CA,90,76,53.6,16.11,50.23,-63.6,1559592070
350,Abnub,EG,0,29,91.4,13.87,27.27,31.15,1559592072
351,Umm Kaddadah,SD,80,33,92.0,17.58,13.6,26.69,1559592073
352,Mugur-Aksy,RU,63,76,32.6,5.41,50.38,90.44,1559592074
353,Talnakh,RU,0,86,33.8,4.47,69.49,88.39,1559592076
354,Chumikan,RU,100,84,45.92,0.27,54.72,135.31,1559592077
355,Campos Altos,BR,79,84,64.28,6.89,-19.7,-46.17,1559592078
356,Beyneu,KZ,2,17,86.6,6.55,45.32,55.19,1559592080
357,San Patricio,PY,0,85,62.12,3.89,-26.98,-56.83,1559592082
358,Norman Wells,CA,90,93,41.0,5.82,65.28,-126.83,1559592083
359,Kavieng,PG,100,78,83.72,12.06,-2.57,150.8,1559592085
360,Barnsley,GB,0,48,62.6,10.29,53.55,-1.48,1559591982
361,Saint-Francois,FR,0,72,68.0,5.82,46.42,3.91,1559592087
362,Dubbo,AU,75,87,44.6,16.11,-32.25,148.6,1559592089
363,Srandakan,ID,100,82,79.58,12.64,-7.94,110.25,1559592090
364,Bambanglipuro,ID,100,82,79.58,12.64,-7.95,110.28,1559592091
365,Haradok,BY,0,77,54.74,4.36,55.46,29.99,1559592093
366,Nanortalik,GL,0,83,36.74,9.04,60.14,-45.24,1559591984
367,Lancaster,US,1,34,70.0,17.22,40.04,-76.31,1559591936
368,Angatuba,BR,22,92,63.92,4.94,-23.49,-48.41,1559592097
369,Muisne,EC,75,83,82.4,9.17,0.61,-80.02,1559592099
370,Pascagoula,US,75,41,98.01,3.36,30.37,-88.56,1559592031
371,Killybegs,IE,20,71,53.6,17.22,54.63,-8.45,1559592102
372,Halifax,CA,75,88,62.6,16.11,44.65,-63.58,1559592099
373,Aksu,KZ,0,81,51.8,4.47,52.04,76.93,1559592104
